排名：1	电影名：肖申克的救赎
排名：2	电影名：霸王别姬
排名：3	电影名：阿甘正传
排名：4	电影名：这个杀手不太冷
排名：5	电影名：美丽人生
排名：6	电影名：泰坦尼克号
排名：7	电影名：千与千寻
排名：8	电影名：辛德勒的名单
排名：9	电影名：盗梦空间
排名：10	电影名：忠犬八公的故事
排名：11	电影名：海上钢琴师
排名：12	电影名：楚门的世界
排名：13	电影名：三傻大闹宝莱坞
排名：14	电影名：机器人总动员
排名：15	电影名：放牛班的春天
排名：16	电影名：星际穿越
排名：17	电影名：大话西游之大圣娶亲
排名：18	电影名：熔炉
排名：19	电影名：疯狂动物城
排名：20	电影名：无间道
排名：21	电影名：龙猫
排名：22	电影名：教父
排名：23	电影名：当幸福来敲门
排名：24	电影名：怦然心动
排名：25	电影名：触不可及
排名：26	电影名：蝙蝠侠：黑暗骑士
排名：27	电影名：控方证人
排名：28	电影名：活着
排名：29	电影名：乱世佳人
排名：30	电影名：寻梦环游记
排名：31	电影名：末代皇帝
排名：32	电影名：摔跤吧！爸爸
排名：33	电影名：指环王3：王者无敌
排名：34	电影名：少年派的奇幻漂流
排名：35	电影名：何以为家
排名：36	电影名：飞屋环游记
排名：37	电影名：十二怒汉
排名：38	电影名：鬼子来了
排名：39	电影名：天空之城
排名：40	电影名：大话西游之月光宝盒
排名：41	电影名：哈尔的移动城堡
排名：42	电影名：素媛
排名：43	电影名：天堂电影院
排名：44	电影名：罗马假日
排名：45	电影名：闻香识女人
排名：46	电影名：辩护人
排名：47	电影名：搏击俱乐部
排名：48	电影名：哈利·波特与魔法石
排名：49	电影名：我不是药神
排名：50	电影名：死亡诗社
排名：51	电影名：教父2
排名：52	电影名：狮子王
排名：53	电影名：指环王2：双塔奇兵
排名：54	电影名：窃听风暴
排名：55	电影名：大闹天宫
排名：56	电影名：指环王1：魔戒再现
排名：57	电影名：两杆大烟枪
排名：58	电影名：美丽心灵
排名：59	电影名：饮食男女
排名：60	电影名：飞越疯人院
排名：61	电影名：猫鼠游戏
排名：62	电影名：黑客帝国
排名：63	电影名：V字仇杀队
排名：64	电影名：钢琴家
排名：65	电影名：本杰明·巴顿奇事
排名：66	电影名：看不见的客人
排名：67	电影名：让子弹飞
排名：68	电影名：西西里的美丽传说
排名：69	电影名：海豚湾
排名：70	电影名：小鞋子
排名：71	电影名：拯救大兵瑞恩
排名：72	电影名：情书
排名：73	电影名：穿条纹睡衣的男孩
排名：74	电影名：音乐之声
